Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Pushing It Down and Praying - Live from AFAS, Amsterdam","Lizzy McAlpine","Pushing It Down and Praying (Live from AFAS, Amsterdam)","Favorite Songs","Favorite","USRC12502153","17uCITlzfTYFubzabQunsn"
"Kickstarts - Radio Edit","Example","Kickstarts (Remixes)","Favorite Songs","Favorite","GBCEN1000284","3B0GZHv3mEEsfeqHF5GkXM"
"São Paulo (feat. Anitta)","The Weeknd","São Paulo","Favorite Songs","Favorite","USUG12405846","0xGQTpN4ESETtl1Sp6rzd2"
"Me & U","Tems","Born in the Wild","Favorite Songs","Favorite","USRC12302300","31kxPC3ZB9AYwCLyHaqEVX"
"Why'd You Only Call Me When You're High?","Arctic Monkeys","AM","Favorite Songs","Favorite","GBCEL1300370","086myS9r57YsLbJpU0TgK9"
"ketamina - slowed","yaego","ketamina","Favorite Songs","Favorite","AEA3A2023296","6CANaeWxCNJU8ZAiJk5Bt0"
"Letter Home","Childish Gambino","Camp","Favorite Songs","Favorite","USYAH1100362","1hpNW01dJUUlRrvLJY0DxF"
"Mari&Hannah","Ari Bajgora","Valget å gå, og vi gikk","Favorite Songs","Favorite","USA2P2522401","1dPZDS1N5YIGBzhD1UReoJ"
"lights - sped up + reverb","pearl","lights - sped up + reverb","Favorite Songs","Favorite","GX89G2290628","4OAv86WJ7VVI2aV7yqxVU5"
"ketamina - slowed","yaego","ketamina (slowed)","Favorite Songs","Favorite","AEA3A2023296","6dQXzia8UPrID7C9aBBDLt"
"Raindance (feat. Tems)","Dave","The Boy Who Played the Harp","Favorite Songs","Favorite","GBUM72506029","3oTuTpF1F3A7rEC6RKsMRz"
"Lies in the Eyes of Love","Part Time","Lies in the Eyes of Love","Favorite Songs","Favorite","GBLFP2350714","5JQuDFh7QKTjJDoEQAmaO8"
"crushing","sombr","I Barely Know Her","Favorite Songs","Favorite","USWB12503042","2pQoErkcTbLdQLnUtMYvuZ"
